Log file open, 11/18/14 03:05:52
LogInit:Display: Running engine for game: MyProject4
LogInit: Version: 4.4.3-0+UE4
LogInit: API Version: 0
LogInit: Compiled (64-bit): Sep 17 2014 07:16:51
LogInit: Build Configuration: Development
LogInit: Branch Name: UE4
LogInit: Command line: 
LogInit: Base directory: D:/Developer/UnrealEngine-4.4.3-release/UnrealEngine-4.4.3-release/Engine/Binaries/Win64/
LogInit: Rocket: 0
[2014.11.18-02.05.52:109][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.11.18-02.05.52:140][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.11.18-02.05.52:150][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.11.18-02.05.52:160][  0]LogInit: Object subsystem initialized
[2014.11.18-02.05.52:163][  0]LogInit: Selected Device Profile: [Windows]
[2014.11.18-02.05.52:163][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2014.11.18-02.05.52:182][  0]LogInit: Computer: ADAM
[2014.11.18-02.05.52:182][  0]LogInit: User: Adam
[2014.11.18-02.05.52:184][  0]LogInit: CPU Page size=4096, Cores=2
[2014.11.18-02.05.52:184][  0]LogInit: High frequency timer resolution =3.161619 MHz
[2014.11.18-02.05.52:184][  0]LogMemory: Memory total: Physical=3.0GB (3GB approx) Virtual=131072.0GB
[2014.11.18-02.05.52:184][  0]LogMemory: Platform Memory Stats for Windows
[2014.11.18-02.05.52:184][  0]LogMemory: Process Physical Memory: 61.56 MB used, 61.66 MB peak
[2014.11.18-02.05.52:184][  0]LogMemory: Process Virtual Memory: 36.14 MB used, 36.25 MB peak
[2014.11.18-02.05.52:185][  0]LogMemory: Physical Memory: 1696.61 MB used, 3071.55 MB total
[2014.11.18-02.05.52:185][  0]LogMemory: Virtual Memory: 339.54 MB used, 134217728.00 MB total
[2014.11.18-02.05.52:239][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 780 (Feature Level 11_0)
[2014.11.18-02.05.52:239][  0]LogD3D11RHI: Adapter has 2988MB of dedicated video memory, 0MB of dedicated system memory, and 1535MB of shared system memory, 2 output[s]
[2014.11.18-02.05.52:241][  0]LogD3D11RHI: Found D3D11 adapter 1: Microsoft Basic Render Driver (Feature Level 11_0)
[2014.11.18-02.05.52:241][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2014.11.18-02.05.52:241][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2014.11.18-02.05.52:253][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2014.11.18-02.05.52:267][  0]LogD3D11RHI: Async texture creation enabled
[2014.11.18-02.05.52:520][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2014.11.18-02.05.54:248][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2014.11.18-02.05.54:840][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2014.11.18-02.05.54:890][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache: Loaded boot cache 1.78s 39MB ../../../../../Jablo/UNREAL_AKTUALNY_PROJEKT/MyProject4/DerivedDataCache/Boot.ddc.
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache:Display: Loaded Boot cache: ../../../../../Jablo/UNREAL_AKTUALNY_PROJEKT/MyProject4/DerivedDataCache/Boot.ddc
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../Jablo/UNREAL_AKTUALNY_PROJEKT/MyProject4/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  EnginePak pak cache file ../../../Engine/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2014.11.18-02.05.56:672][  0]LogDerivedDataCache: Unable to find inner node EnginePak for hierarchical cache Hierarchy.
[2014.11.18-02.05.56:685][  0]LogDerivedDataCache: Using Local data cache path ../../../Engine/DerivedDataCache: Writable
[2014.11.18-02.05.56:685][  0]LogDerivedDataCache: Shared data cache path not found in *engine.ini, will not use an Shared cache.
[2014.11.18-02.05.56:685][  0]LogDerivedDataCache: Unable to find inner node Shared for hierarchical cache Hierarchy.
[2014.11.18-02.05.56:938][  0]LogMeshUtilities: No automatic mesh reduction module available
[2014.11.18-02.05.56:938][  0]LogMeshUtilities: No automatic mesh merging module available
[2014.11.18-02.05.57:814][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2014.11.18-02.05.58:871][  0]LogStats:Warning: MetaData mismatch. Did you assign a stat to two groups? New //STATGROUP_Threads//FMonitoredProcess///Thread_152c_0///////STATCAT_Advanced//// old //STATGROUP_Threads//FMonitoredProcess///Thread_2280_0///////STATCAT_Advanced////
[2014.11.18-02.05.58:871][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2014.11.18-02.05.58:942][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'MyProject4' because the file 'D:/Developer/UnrealEngine-4.4.3-release/UnrealEngine-4.4.3-release/Engine/Binaries/Win64/' was not found.
[2014.11.18-02.06.05:742][  0]LogWindowsTextInputMethodSystem:Error: Terminating failed while unadvising the language notification sink from the TSF source.
[2014.11.18-02.06.05:744][  0]LogExit: Preparing to exit.
[2014.11.18-02.06.06:025][  0]LogExit: Object subsystem successfully closed.
[2014.11.18-02.06.06:074][  0]LogModuleManager: Shutting down and abandoning module ScriptPlugin (59)
[2014.11.18-02.06.06:074][  0]LogModuleManager: Shutting down and abandoning module UdpMessaging (58)
[2014.11.18-02.06.06:175][  0]LogModuleManager: Shutting down and abandoning module Paper2D (57)
[2014.11.18-02.06.06:175][  0]LogModuleManager: Shutting down and abandoning module WindowsMoviePlayer (56)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module ImageWrapper (55)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module OnlineBlueprintSupport (54)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module FunctionalTesting (53)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module CollisionAnalyzer (52)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module WorkspaceMenuStructure (51)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module MessageLog (50)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module UMGEditor (49)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module UMG (48)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module Slate (47)
[2014.11.18-02.06.06:177][  0]LogModuleManager: Shutting down and abandoning module EditorStyle (46)
[2014.11.18-02.06.06:179][  0]LogModuleManager: Shutting down and abandoning module SessionServices (45)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module SourceCodeAccess (44)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module HeadMountedDisplay (43)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module XAudio2 (42)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module Networking (40)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module Core (39)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module KismetCompiler (38)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module PhysXFormats (37)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module MeshUtilities (36)
[2014.11.18-02.06.06:180][  0]LogModuleManager: Shutting down and abandoning module DerivedDataCache (35)
[2014.11.18-02.06.06:193][  0]LogDerivedDataCache: Shutdown
[2014.11.18-02.06.06:193][  0]LogModuleManager: Shutting down and abandoning module ShaderFormatOpenGL (34)
[2014.11.18-02.06.06:193][  0]LogModuleManager: Shutting down and abandoning module ShaderFormatD3D (33)
[2014.11.18-02.06.06:193][  0]LogModuleManager: Shutting down and abandoning module MetalShaderFormat (32)
